0,FETCH,,MAR <- PC,00010000010000100000000000000000
1,FETCH,,INC PC,00000000100000000000000100000000
2,FETCH,,MDR-FM WE,00000000000000000000000100000000
3,FETCH,,IR <- MDR-FM,01000000000000000010000000000000
4,FETCH,,NOP,00000000000000000000000000000000
5,ADD B,80,TMP <- B; OP=ADD,01100001000001000000000001000000
6,ADD B,80,ACC <- ALU,00110000001000000000000000000000
7,ADD B,80,NOP,00000000000000000000000000000000
8,ADD C,81,TMP <- C; op=ADD,01110001000001000000000001000000
9,ADD C,81,ACC <- ALU,00110000001000000000000000000000
10,ADD C,81,NOP,00000000000000000000000000000000
11,ANA B,A0,TMP <- B; OP=AND,01100101000001000000000001000000
12,ANA B,A0,OP=AND,00000101000000000000000001000000
13,ANA B,A0,ACC <- ALU,00110000001000000000000000000000
14,ANA B,A0,NOP,00000000000000000000000000000000
15,ANA C,A1,TMP <- C; OP=AND,01110101000001000000000001000000
16,ANA C,A1,OP=AND,00000101000000000000000000000000
17,ANA C,A1,ACC <- ALU,00110000001000000000000000000000
18,ANA C,A1,NOP,00000000000000000000000000000000
19,ANI byte,E6,MAR <- PC,00010000000000100000000000000000
20,ANI byte,E6,INC PC; MDR-FM WE,00000000100000000000000100000000
21,ANI byte,E6,TMP <- MDR-FM; OP=AND,01000101000001000000000001000000
22,ANI byte,E6,ACC <- ALU,00110000001000000000000000000000
23,ANI byte,E6,NOP,00000000000000000000000000000000
24,CALL,CD,MAR <- PC,00010000000000100000000000000000
25,CALL,CD,INC PC,00000000100000000000000100000000
26,CALL,CD,MDR-FM WE,00000000000000000000000100000000
27,CALL,CD,OperandLow <- MDR-FM,01000000000000000100000000000000
28,CALL,CD,MAR <- PC,00010000000000100000000000000000
29,CALL,CD,INC PC,00000000100000000000000100000000
30,CALL,CD,MDR-FM WE,00000000000000000000000100000000
31,CALL,CD,OperandHigh <- MDR-FM,01000000000000000110000000000000
32,CALL,CD,MAR <- SP,11010000000000100000000000000000
33,CALL,CD,DEC SP,00000000000000000000000000000001
34,CALL,CD,MDR-TM <- PC HIGH,11000000000000001000000000000000
35,CALL,CD,RAM WE,00000000000000000000000010000000
36,CALL,CD,MAP <- SP,11010000000000100000000000000000
37,CALL,CD,DEC SP,00000000000000000000000000000001
38,CALL,CD,MDR-TM <- PC LOW,10110000000000001000000000000000
39,CALL,CD,RAM WE,00000000000000000000000010000000
40,CALL,CD,PC <- OperandFull,00100000000000010000000000000000
41,CALL,CD,NOP,00000000000000000000000000000000
42,CMA,2F,TMP <- ACC; OP = CMP,01011000000001000000000000000000
43,CMA,2F,ACC <- ALU,00110000001000000000000000000000
44,CMA,2F,NOP,00000000000000000000000000000000
45,DCR A,3D,TMP <- ACC; OP=DEC,01010100000001000000000001000000
46,DCR A,3D,ACC <- ALU,00110000001000000000000000000000
47,DCR A,3D,NOP,00000000000000000000000000000000
48,DCR B,05,TMP <- B; OP=DEC,01100100000001000000000001000000
49,DCR B,05,B <- ALU,00110000000100000000000000000000
50,DCR B,05,NOP,00000000000000000000000000000000
51,DCR C,0D,TMP <- C; OP=DEC,01110100000001000000000001000000
52,DCR C,0D,C <- ALU,00110000000010000000000000000000
53,DCR C,0D,NOP,00000000000000000000000000000000
54,HLT,76,NOP,00000000000000000000000000000000
55,IN byte,DB,MAR <- PC,00010000000000100000000000000000
56,IN byte,DB,INC PC,00000000100000000000000100000000
57,IN byte,DB,MDR-FM WE,00000000000000000000000100000000
58,IN byte,DB,OperandLow <- MDR-FM,01000000000000000100000000000000
59,IN byte,DB,WAIT,00000000000000000000000000000100
60,IN byte,DB,NOP,00000000000000000000000000000000
61,INR A,3C,TMP <- ACC; OP=INC,01010011000001000000000001000000
62,INR A,3C,ACC <- ALU,00110000001000000000000000000000
63,INR A,3C,NOP,00000000000000000000000000000000
64,INR B,04,TMP <- B; OP=INC,01100011000001000000000001000000
65,INR B,04,B <- ALU,00110000000100000000000000000000
66,INR B,04,NOP,00000000000000000000000000000000
67,INR C,0C,TMP <- C; OP=INC,01110011000001000000000001000000
68,INR C,0C,C <- TMP,00110000000010000000000000000000
69,INR C,0C,NOP,00000000000000000000000000000000
70,JM address,FA,MAR <- PC,00010000000000100000000000000000
71,JM address,FA,INC PC,00000000100000000000000100000000
72,JM address,FA,MDR-FM WE,00000000000000000000000100000000
73,JM address,FA,OperandLow <- MDR-FM,01000000000000000100000000000000
74,JM address,FA,MAR <- PC,00010000000000100000000000000000
75,JM address,FA,INC PC,00000000100000000000000100000000
76,JM address,FA,MDR-FM WE,00000000000000000000000100000000
77,JM address,FA,OperandHigh <- MDR-FM,01000000000000000110000000000000
78,JM address,FA,NEXT iF NOT M,00000000000000000000000000100000
79,JM address,FA,PC <- OperandFull,00100000000000010000000000000000
80,JM address,FA,NOP,00000000000000000000000000000000
81,JMP address,C3,MAR <- PC,00010000000000100000000000000000
82,JMP address,C3,INC PC,00000000100000000000000100000000
83,JMP address,C3,MDR-FM WE,00000000000000000000000100000000
84,JMP address,C3,OperandLow <- MDR-FM,01000000000000000100000000000000
85,JMP address,C3,MAR <- PC,00010000000000100000000000000000
86,JMP address,C3,INC PC,00000000100000000000000100000000
87,JMP address,C3,MDR-FM WE,00000000000000000000000100000000
88,JMP address,C3,OperandHigh <- MDR-FM,01000000000000000110000000000000
89,JMP address,C3,PC <- OperandFull,00100000000000010000000000000000
90,JMP address,C3,NOP,00000000000000000000000000000000
91,JNZ address,C2,MAR <- PC,00010000000000100000000000000000
92,JNZ address,C2,INC PC,00000000100000000000000100000000
93,JNZ address,C2,MDR-FM WE,00000000000000000000000100000000
94,JNZ address,C2,OperandLow <- MDR-FM,01000000000000000100000000000000
95,JNZ address,C2,MAR <- PC,00010000000000100000000000000000
96,JNZ address,C2,INC PC,00000000100000000000000100000000
97,JNZ address,C2,MDR-FM WE,00000000000000000000000100000000
98,JNZ address,C2,OperandHigh <- MDR-FM,01000000000000000110000000000000
99,JNZ address,C2,NEXT iF NOT NZ,00000000000000000000000000001000
100,JNZ address,C2,PC <- OperandFull,00100000000000010000000000000000
101,JNZ address,C2,NOP,00000000000000000000000000000000
102,JZ address,CA,MAR <- PC,00010000000000100000000000000000
103,JZ address,CA,INC PC,00000000100000000000000100000000
104,JZ address,CA,MDR-FM WE,00000000000000000000000100000000
105,JZ address,CA,OperandLow <- MDR-FM,01000000000000000100000000000000
106,JZ address,CA,MAR <- PC,00010000000000100000000000000000
107,JZ address,CA,INC PC,00000000100000000000000100000000
108,JZ address,CA,MDR-FM WE,00000000000000000000000100000000
109,JZ address,CA,OperandHigh <- MDR-FM,01000000000000000110000000000000
110,JZ address,CA,NEXT iF NOT NZ,00000000000000000000000000010000
111,JZ address,CA,PC <- OperandFull,00100000000000010000000000000000
112,JZ address,CA,NOP,00000000000000000000000000000000
113,LDA address,3A,MAR <- PC,00010000000000100000000000000000
114,LDA address,3A,INC PC,00000000100000000000000100000000
115,LDA address,3A,MDR-FM WE,00000000000000000000000100000000
116,LDA address,3A,OperandLow <- MDR-FM,01000000000000000100000000000000
117,LDA address,3A,MAR <- PC,00010000000000100000000000000000
118,LDA address ,3A,INC PC,00000000100000000000000100000000
119,LDA address,3A,MDR-FM WE,00000000000000000000000100000000
120,LDA address,3A,OperandHigh <- MDR-FM,01000000000000000110000000000000
121,LDA address,3A,MAR <- OperandFull,00100000000000100000000000000000
122,LDA Address,3A,MDR-FM WE,00000000000000000000000100000000
123,LDA Address,3A,MDR-FM WE,00000000000000000000000100000000
124,LDA address,3A,ACC <- MDR-FM,01000000001000000000000000000000
125,LDA address,3A,NOP,00000000000000000000000000000000
126,"MOV A,B",78,A <- B,01100000001000000000000000000000
127,"MOV A,B",78,NOP,00000000000000000000000000000000
128,"MOV A,C",79,A <- C,01110000001000000000000000000000
129,"MOV A,C",79,NOP,00000000000000000000000000000000
130,"MOV B,A",47,B <- A,01010000000100000000000000000000
131,"MOV B,A",47,NOP,00000000000000000000000000000000
132,"MOV B,C",41,B <- C,01110000000100000000000000000000
133,"MOV B,C",41,NOP,00000000000000000000000000000000
134,"MOV C,A",4F,C <- A,01010000000010000000000000000000
135,"MOV C,A",4F,NOP,00000000000000000000000000000000
